_year	sex	dep	age	rate	gor
2010	1	9	0	.0047365	10
2011	1	9	0	.0046188	10
2012	1	9	0	.0046188	10
2013	1	9	0	.0046188	10
2014	1	9	0	.0046188	10
2015	1	9	0	.0046188	10
2010	2	9	0	.0036805	10
2011	2	9	0	.0035623	10
2012	2	9	0	.0035623	10
2013	2	9	0	.0035623	10
2014	2	9	0	.0035623	10
2015	2	9	0	.0035623	10
2010	1	9	1	.0003593	10
2011	1	9	1	.0003336	10
2012	1	9	1	.0003336	10
2013	1	9	1	.0003336	10
2014	1	9	1	.0003336	10
2015	1	9	1	.0003336	10
2010	2	9	1	.000405	10
2011	2	9	1	.0004129	10
2012	2	9	1	.0004129	10
2013	2	9	1	.0004129	10
2014	2	9	1	.0004129	10
2015	2	9	1	.0004129	10
2010	1	9	2	.0001594	10
2011	1	9	2	.0001488	10
2012	1	9	2	.0001488	10
2013	1	9	2	.0001488	10
2014	1	9	2	.0001488	10
2015	1	9	2	.0001488	10
2010	2	9	2	.000177	10
2011	2	9	2	.0001784	10
2012	2	9	2	.0001784	10
2013	2	9	2	.0001784	10
2014	2	9	2	.0001784	10
2015	2	9	2	.0001784	10
2010	1	9	3	.0001177	10
2011	1	9	3	.0001117	10
2012	1	9	3	.0001117	10
2013	1	9	3	.0001117	10
2014	1	9	3	.0001117	10
2015	1	9	3	.0001117	10
2010	2	9	3	.0001188	10
2011	2	9	3	.0001169	10
2012	2	9	3	.0001169	10
2013	2	9	3	.0001169	10
2014	2	9	3	.0001169	10
2015	2	9	3	.0001169	10
2010	1	9	4	.0000945	10
2011	1	9	4	.0000906	10
2012	1	9	4	.0000906	10
2013	1	9	4	.0000906	10
2014	1	9	4	.0000906	10
2015	1	9	4	.0000906	10
2010	2	9	4	.0000882	10
2011	2	9	4	.0000849	10
2012	2	9	4	.0000849	10
2013	2	9	4	.0000849	10
2014	2	9	4	.0000849	10
2015	2	9	4	.0000849	10
2010	1	9	5	.0000816	10
2011	1	9	5	.0000789	10
2012	1	9	5	.0000789	10
2013	1	9	5	.0000789	10
2014	1	9	5	.0000789	10
2015	1	9	5	.0000789	10
2010	2	9	5	.0000715	10
2011	2	9	5	.0000676	10
2012	2	9	5	.0000676	10
2013	2	9	5	.0000676	10
2014	2	9	5	.0000676	10
2015	2	9	5	.0000676	10
2010	1	9	6	.0000754	10
2011	1	9	6	.0000732	10
2012	1	9	6	.0000732	10
2013	1	9	6	.0000732	10
2014	1	9	6	.0000732	10
2015	1	9	6	.0000732	10
2010	2	9	6	.0000626	10
2011	2	9	6	.0000585	10
2012	2	9	6	.0000585	10
2013	2	9	6	.0000585	10
2014	2	9	6	.0000585	10
2015	2	9	6	.0000585	10
2010	1	9	7	.0000739	10
